Rk,Player,Pos,Age,Tm,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,PER,TS%,3PAr,FTr,ORB%,DRB%,TRB%,AST%,STL%,BLK%,TOV%,USG%,OWS,DWS,WS,WS/48,OBPM,DBPM,BPM,VORP,MIP
120,Chris Douglas-Roberts\douglch01,SF,24,MIL,44,12,20.1,2.7,6.2,0.429,0.3,1,0.326,2.3,5.2,0.449,0.456,1.7,2,0.831,0.2,1.8,2,1.1,0.7,0.3,0.8,1.7,7.3,11.5,0.517,0.168,0.326,0.9,11,5.8,9.8,1.8,1.2,10.1,18.4,0.4,1.3,1.6,0.088,-2.8,0.6,-2.3,-0.1,0
121,Zabian Dowdell\dowdeza01,PG,26,PHO,24,0,12.2,2.1,5.2,0.408,0.1,0.4,0.3,2,4.8,0.417,0.42,0.7,0.7,0.941,0.2,0.6,0.8,2.1,0.8,0.1,1.2,1.3,5,11.7,0.457,0.08,0.136,2,5.9,4,27.7,3.5,0.5,18,25,-0.4,0.2,-0.1,-0.019,-3.5,-1,-4.6,-0.2,0
123,Jared Dudley\dudleja01,SF,25,PHO,82,15,26.1,3.7,7.7,0.477,1.3,3.1,0.415,2.4,4.6,0.519,0.56,2,2.7,0.743,1.4,2.5,3.9,1.3,1.1,0.2,0.9,1.7,10.6,15.6,0.598,0.402,0.347,6,11.2,8.6,7.6,2.1,0.7,9.6,16.9,4.2,1.4,5.6,0.126,2.6,0.2,2.8,2.5,0
124,Chris Duhon\duhonch01,PG,28,ORL,51,5,15.2,1,2.5,0.38,0.3,1,0.25,0.7,1.5,0.468,0.43,0.3,0.5,0.56,0.2,0.8,1,2.3,0.3,0,1.2,0.6,2.5,5.6,0.446,0.403,0.194,1.4,6.3,3.9,22.4,1.1,0.2,30.3,12,-0.7,0.9,0.2,0.014,-4.7,-0.4,-5.1,-0.6,0
125,Tim Duncan\duncati01,C,34,SAS,76,76,28.4,5.5,11,0.5,0,0.1,0,5.5,11,0.502,0.5,2.4,3.4,0.716,2.2,6.7,8.9,2.7,0.7,1.9,1.6,1.6,13.4,21.9,0.537,0.005,0.307,9.3,26.8,18.3,15.7,1.2,4.8,11.4,22.9,3.7,4,7.7,0.171,-0.1,3.9,3.8,3.2,0
126,Mike Dunleavy\dunlemi02,SG,30,IND,61,44,27.6,3.9,8.5,0.462,1.7,4.2,0.402,2.3,4.4,0.519,0.56,1.6,2,0.8,0.5,4.1,4.5,1.7,0.7,0.5,1.1,1.8,11.2,14.6,0.593,0.488,0.24,1.9,16.2,9.1,10.1,1.2,1.3,10.7,16.9,2.6,1.9,4.5,0.129,1.1,0.2,1.3,1.4,0
127,Ronald Dupree\duprero01,SF,30,TOR,3,0,4.3,0.3,1.3,0.25,0,0.3,0,0.3,1,0.333,0.25,0,0,,0,1,1,0.3,0,0,0,0.7,0.7,0.5,0.25,0.25,0,0,28,13.7,10.7,0,0,0,13.8,0,0,0,-0.094,-8.2,-2.5,-10.7,0,0
128,Kevin Durant\duranke01,SF,22,OKC,78,78,38.9,9.1,19.7,0.462,1.9,5.3,0.35,7.3,14.4,0.504,0.509,7.6,8.7,0.88,0.7,6.1,6.8,2.7,1.1,1,2.8,2,27.7,23.6,0.589,0.269,0.439,2.3,17.7,10.3,13.2,1.5,1.8,10.6,30.6,8.6,3.3,12,0.189,3.7,-0.8,2.9,3.7,0
129,Devin Ebanks\ebankde01,SG,21,LAL,20,0,5.9,1.1,2.6,0.412,0.1,0.3,0.4,1,2.3,0.413,0.431,0.9,1.2,0.783,0.8,0.6,1.4,0.1,0.2,0.3,0.3,0.4,3.1,19.4,0.507,0.098,0.451,14.9,11.1,13,2.8,1.8,3.2,8.9,25.9,0.2,0.2,0.4,0.144,-1.8,-2.5,-4.3,-0.1,0
130,Wayne Ellington\ellinwa01,SG,23,MIN,62,8,19,2.6,6.4,0.403,0.8,2,0.397,1.8,4.5,0.406,0.463,0.7,0.9,0.792,0.4,1.3,1.7,1.2,0.5,0,0.9,1.4,6.6,8.6,0.488,0.305,0.134,2.4,7.9,5.1,9.4,1.2,0.2,11.2,17.1,0.1,0.1,0.3,0.01,-2.2,-2.3,-4.6,-0.8,0
